DISTRICTNAME NEIGHBORHOODNAME N AVG_UNITPRICE Q1_UNITPRICE Q3_UNITPRICE IQR CV CLUSTER
Carabanchel Opañel 1125 2151.1671043774254 1785.7142857142858 2630.4347826086955 844.7204968944097 0.1775478281500497 "Complete neighborhood"
Salamanca "Fuente del Berro" 1107 4235.327049942783 3790.15963622291 4921.633284481355 1131.4736482584449 0.13092601994508554 "Complete neighborhood"
Centro Chueca-Justicia 1107 5477.730683571497 4782.563025210084 6486.486486486487 1703.923461276403 0.14815173015645905 "Open Building 2 (Fine Grain)"
Salamanca Castellana 1074 6549.846413411676 5751.071428571428 7747.983870967742 1996.912442396314 0.1347762783482069 "Single-family home 1 (medium intensity)"
Retiro Pacífico 1055 3849.643194785325 3434.343434343434 4291.666666666667 857.3232323232328 0.11629770724480686 "Single-family home 1 (medium intensity)"
Latina Lucero 1027 2132.2350090507225 1749.375 2599.7023809523807 850.3273809523807 0.16939046655519702 "Complete neighborhood"
Chamberí Almagro 1027 5731.410578475119 4927.055702917772 6666.666666666667 1739.6109637488953 0.12998135919933015 "Single-family home 1 (medium intensity)"
"Villa de Vallecas" "Ensanche de Vallecas - La Gavia" 1014 2595.252906475289 2381.0723990683227 2928.1358885017426 547.0634894334198 0.11475399524188336 "Single-family home 2 (low intensity)"
Tetuán Berruguete 1007 2923.5283345665553 2571.4285714285716 3398.1132075471696 826.6846361185981 0.14717240380299468 "Complete neighborhood"
Salamanca Guindalera 1003 4308.515999795565 3755.876834786447 4942.81045751634 1186.9336227298927 0.14932819840992523 "Single-family home 1 (medium intensity)"
Arganzuela Acacias 994 3889.5851002553354 3287.5210084033615 4676.0254134354855 1388.504405032124 0.12365143637758878 "Complete neighborhood"
Chamartín "El Viso" 991 5872.274238097515 5000 7096.774193548387 2096.7741935483873 0.15701390984596147 "Complete neighborhood"
Retiro Ibiza 991 5480.830119260256 4750 6260.597826086956 1510.597826086956 0.15415395053091643 "Single-family home 1 (medium intensity)"
Centro Sol 988 5074.330734697939 4382.57864028412 5908.450704225352 1525.872063941231 0.1608826298374298 "Complete neighborhood"
Chamberí Trafalgar 987 5095.240914467422 4500 5925 1425 0.15695246717570482 "Single-family home 1 (medium intensity)"
Arganzuela "Palos de Moguer" 978 3891.813383112176 3406.949485783424 4468.085106382979 1061.1356205995548 0.14906444459994597 "Complete neighborhood"
Carabanchel "Buena Vista" 965 1877.556768320124 1553.030303030303 2238.3720930232557 685.3417899929527 0.15654149733530004 "Complete neighborhood"
"Ciudad Lineal" Quintana 964 2740.977151972505 2285.714285714286 3302.0400943396226 1016.3258086253368 0.16008737196035347 "Complete neighborhood"
Centro Huertas-Cortes 961 5100.265141267884 4318.181818181818 5978.260869565217 1660.079051383399 0.15380689234190667 "Complete neighborhood"
Carabanchel Abrantes 939 1800.6326549084838 1482.7371134020618 2200 717.2628865979382 0.17841371670188724 "Complete neighborhood"
"San Blas" Simancas 932 2397.4713998548004 1858.506868131868 3118.624207333885 1260.1173392020169 0.18396542059705775 "Complete neighborhood"
"Puente de Vallecas" "Palomeras sureste" 905 1845.9480829291424 1495.3271028037384 2265.3333333333335 770.0062305295951 0.1821486975665694 "Single-family home 2 (low intensity)"
Latina Aluche 903 2031.3221633213543 1805.582477224268 2329.4117647058824 523.8292874816143 0.13245565828796227 "Compact block (expansion)"
Tetuán Berruguete 902 2887.6823118262055 2550.561797752809 3360 809.4382022471909 0.1423166427390218 "Open block (new extensions)"
Fuencarral Peñagrande 873 3293.1837119931492 2813.5593220338983 3904.109589041096 1090.5502670071978 0.15582611892352585 "Complete neighborhood"
Latina Águilas 859 1967.109950211007 1785.7142857142858 2186.186974789916 400.4726890756301 0.14106083729091098 "Complete neighborhood"
"Ciudad Lineal" Ventas 852 2556.9856189720595 2219.4117647058824 2964.9758454106277 745.5640807047453 0.1695605623299251 "Compact block (expansion)"
"Puente de Vallecas" Entrevías 843 1437.2803903808062 1236.3636363636365 1608.993212669683 372.6295763060468 0.17588103978232614 "Complete neighborhood"
Arganzuela Chopera 842 3533.8231820603305 3112.8403465346537 4025.974025974026 913.1336794393724 0.1256529035490195 "Complete neighborhood"
Hortaleza "Pinar del Rey" 838 2624.248771753576 2368.4210526315787 2953.598901098901 585.1778484673223 0.1462957294358642 "Compact block (expansion)"
Arganzuela Delicias 831 3676.688363677873 3181.818181818182 4279.285714285714 1097.4675324675318 0.12079512617517678 "Complete neighborhood"
Fuencarral Pilar 826 3110.822346993332 2819.885534732354 3545.4545454545455 725.5690107221917 0.11186495980430836 "Complete neighborhood"
Carabanchel "San Isidro" 824 1946.865505671288 1655.844155844156 2317.4603174603176 661.6161616161617 0.1642392479072314 "Open block (new extensions)"
Usera Moscardó 821 2134.78346915613 1766.6666666666667 2673.076923076923 906.410256410256 0.1609037765645996 "Complete neighborhood"
"Ciudad Lineal" Quintana 821 2680.3285275646713 2271.4285714285716 3242.2680412371133 970.8394698085416 0.13206580918148367 "Open block (new extensions)"
Carabanchel Comillas 806 2409.901099365841 2028.409090909091 2826.120797011208 797.7117061021172 0.15004904008663109 "Complete neighborhood"
Arganzuela "Palos de Moguer" 786 3905.972714985842 3429.939516129032 4466.7663091260765 1036.8267929970443 0.14955811316411505 "Single-family home 1 (medium intensity)"
"Puente de Vallecas" "Palomeras Bajas" 773 1883.2412263376584 1577.319587628866 2214.285714285714 636.9661266568482 0.15096235785967477 "Complete neighborhood"
Moncloa Valdezarza 771 2938.0277677133563 2500 3571.4285714285716 1071.4285714285716 0.1684020625665271 "Complete neighborhood"
Moncloa Aravaca 764 3975.5528049661866 3397.6027397260273 4704.114515225107 1306.5117754990802 0.14094000007426163 "Complete neighborhood"
Hortaleza Canillas 757 3069.819116635311 2588.235294117647 3684.2105263157896 1095.9752321981427 0.1737941408480806 "Complete neighborhood"
Villaverde "Los Rosales" 745 1663.166075174388 1392.156862745098 1952.3809523809523 560.2240896358542 0.2009315532671683 "Complete neighborhood"
Salamanca "Fuente del Berro" 732 4247.363797818311 3738.923913043478 5100.36231884058 1361.438405797102 0.13688898840022765 "Single-family home 1 (medium intensity)"
Villaverde "Los Ángeles" 729 1607.4059466425117 1423.9130434782608 1800 376.0869565217392 0.16186852072029642 "Complete neighborhood"
"San Blas" Canillejas 729 2127.5015314902175 1836.029411764706 2457.377049180328 621.3476374156221 0.17453260614409288 "Complete neighborhood"
Chamberí Vallehermoso 724 4505.227388087454 4058.823529411765 5086.827393431167 1028.0038640194025 0.13943828380892004 "Complete neighborhood"
Chamartín Prosperidad 722 4012.062883485216 3621.2375803623618 4532.8125 911.5749196376382 0.13128868958132792 "Single-family home 1 (medium intensity)"
Fuencarral "Tres Olivos - Valverde" 713 2248.9475129215343 1914.6341463414635 2613.688311688312 699.0541653468483 0.17889530453350694 "Complete neighborhood"
"Ciudad Lineal" "Pueblo Nuevo" 712 2318.21467777593 2000 2697.3214285714284 697.3214285714284 0.15349438068223184 "Compact block (expansion)"
"Puente de Vallecas" Portazgo 709 1709.3479279002197 1489.3617021276596 1953.125 463.7632978723405 0.14588137969628293 "Complete neighborhood"
"Villa de Vallecas" "Santa Eugenia" 700 2031.27056973333 1800 2210.5263157894738 410.52631578947376 0.2260626772238344 "Complete neighborhood"
Hortaleza Sanchinarro 685 4168.359082686449 3863.636363636363 4590.397350993378 726.7609873570141 0.11647413796011274 "Complete neighborhood"
Tetuán "Bellas Vistas" 670 3097.5745769300033 2586.206896551724 3666.6666666666665 1080.4597701149423 0.15295404510256497 "Open Building 2 (Fine Grain)"
Retiro Estrella 667 4006.2025521965015 3535.5400696864112 4592.307692307692 1056.7676226212811 0.11589323224364637 "Complete neighborhood"
"San Blas" Rejas 664 2944.1347022918 2609.3617279456375 3538.4667571234736 929.105029177836 0.14059735466262868 "Complete neighborhood"
"Ciudad Lineal" Concepción 663 3085.484099982172 2652.8067626469424 3680.340557275542 1027.5337946285997 0.1782626642676945 "Complete neighborhood"
"Ciudad Lineal" Costillares 656 3947.216894422705 3505.5970149253735 4476.114892320195 970.517877394822 0.12626457888764728 "Complete neighborhood"
Chamartín "Ciudad Jardín" 654 4248.9001203369335 3558.5585585585586 5126.011900643465 1567.4533420849066 0.12646032029465465 "Complete neighborhood"
Arganzuela Chopera 638 3511.572000868003 3133.0665024630543 3933.3333333333335 800.2668308702791 0.1176209583185898 "Single-family home 1 (medium intensity)"
Carabanchel "Puerta Bonita" 628 1770.1837701790864 1476.8329326923076 2060.1363636363635 583.3034309440559 0.18400006235195465 "Open block (new extensions)"
Hortaleza Sanchinarro 621 4211.096473980658 3863.636363636363 4577.981651376147 714.3452877397835 0.09772238677435284 "Single-family home 2 (low intensity)"
Fuencarral "La Paz" 612 3532.018268434761 3191.4893617021276 3945.945945945946 754.4565842438183 0.10923453387162994 "Complete neighborhood"
Centro Sol 599 4969.501044556846 4304.123711340206 5729.166666666667 1425.0429553264612 0.15008632717620315 "Open Building 2 (Fine Grain)"
Retiro Adelfas 596 4019.817167176044 3681.1004784688994 4513.223012681719 832.12253421282 0.10894590309148285 "Complete neighborhood"
Carabanchel "Buena Vista" 595 1861.1370006816187 1535.410691003911 2228.0701754385964 692.659484434685 0.15779819907210296 "Compact block (expansion)"
Usera Pradolongo 589 1813.3067060211715 1480.7692307692307 2163.6363636363635 682.8671328671328 0.2029999607857088 "Complete neighborhood"
Tetuán Ventilla-Almenara 576 3074.6119900831222 2589.1830870279146 3717.6551184184777 1128.4720313905627 0.16524911068995315 "Complete neighborhood"
Chamartín Castilla 574 4118.405034060814 3714.232142857142 4591.77927927928 877.5471364221371 0.11139522073870688 "Complete neighborhood"
Arganzuela Imperial 573 3740.9455100442465 3297.4137931034484 4300 1002.5862068965516 0.14267665156855566 "Complete neighborhood"
"Ciudad Lineal" Ventas 573 2473.014195124445 2117.6470588235293 2948.2758620689656 830.6288032454363 0.17917715565990014 "Open block (new extensions)"
