COD_NDP,DECRETO_LU,DISTRITO,DIRECCION,PLANTA,UNIDADES_VUT,EXPEDIENTE_LU,TIPO,RESOLUCION_LU,EXPEDIENTE_LF,DECRETO  LF,RESOLUCION_LF
11012911,Conceder,Distrito de Retiro,CALLE ALBERTO BOSCH 14,BAJA,1,350/2023/34370,VIVIENDAS DE USO TURÍSTICO,27/11/23,350/2024/21114,04/10/24,Conceder
11033595,Conceder,Distrito de Tetuan,CALLE PINOS ALTA 93,BAJA,1,350/2023/34418,VIVIENDAS DE USO TURÍSTICO,28/11/23,350/2024/26831,09/10/24,Conceder
11033595,Conceder,Distrito de Tetuan,CALLE PINOS ALTA 93,BAJA,1,350/2023/34422,VIVIENDAS DE USO TURÍSTICO,28/11/23,350/2024/26831,09/10/24,Conceder
11037385,Conceder,Distrito de Tetuan,CALLE ALONSO NUÑEZ 10,BAJA,1,350/2023/34610,VIVIENDAS DE USO TURÍSTICO,27/11/23,350/2026/09367,27/03/26,Conceder
11084045,Conceder,Distrito de Usera,CALLE ANTONIO LOPEZ 150,PRIMERA,1,350/2023/34897,VIVIENDAS DE USO TURÍSTICO,20/02/24,,,
11062520,Conceder,Distrito de Latina,CALLE FRANCISCO DE TEJADA 1,BAJA,1,350/2023/34940,VIVIENDAS DE USO TURÍSTICO,29/02/24,350/2024/11000,22/04/24,Conceder
11142291,Conceder,Distrito de Hortaleza,AVENIDA SAN LUIS 27,BAJA,1,350/2023/35323,VIVIENDAS DE USO TURÍSTICO,09/04/24,350/2024/11483,01/10/24,Conceder
11017719,Conceder,Distrito de Salamanca,CALLE MARTINEZ IZQUIERDO 76,TERCERA,1,350/2023/35617,VIVIENDAS DE USO TURÍSTICO,14/10/24,350/2025/10088,22/08/25,Conceder
11013643,Conceder,Distrito de Retiro,CALLE JUAN ESPLANDIU 7,BAJA,2,350/2023/35676,VIVIENDAS DE USO TURÍSTICO,18/01/24,350/2024/38069,21/12/24,Conceder
11030587,Conceder,Distrito de Tetuan,CALLE ORENSE 63,BAJA,2,350/2023/35971,VIVIENDAS DE USO TURÍSTICO,10/01/24,350/2024/25166,16/10/24,Conceder
11012497,Conceder,Distrito de Retiro,AVENIDA MENENDEZ PELAYO 43,BAJA,1,350/2023/36051,VIVIENDAS DE USO TURÍSTICO,11/01/24,350/2024/05407,13/03/24,Conceder
11008066,Conceder,Distrito de Arganzuela,CALLE LINNEO 23,BAJA,1,350/2023/36166,VIVIENDAS DE USO TURÍSTICO,10/01/24,350/2024/21116,04/10/24,Conceder
11013569,Conceder,Distrito de Retiro,CALLE PIO BAROJA 2,BAJA,1,350/2023/36186,VIVIENDAS DE USO TURÍSTICO,28/12/23,350/2024/07871,12/03/24,Conceder
11013569,Conceder,Distrito de Retiro,CALLE PIO BAROJA 2,BAJA,1,350/2023/36293,VIVIENDAS DE USO TURÍSTICO,15/12/23,350/2024/08685,05/04/24,Conceder
11000377,Conceder,Distrito de Centro,CALLE ESCALINATA 1,BAJA,1,350/2023/36368,VIVIENDAS DE USO TURÍSTICO,12/09/24,350/2025/03803,04/07/25,Conceder
11099832,Conceder,Distrito de Puente de Vallecas,CALLE PICO MONCAYO 5,"BAJA, PRIMERA Y SEGUNDA",3,350/2023/36784,VIVIENDAS DE USO TURÍSTICO,23/01/24,350/2026/13382,30/04/26,Conceder
11008794,Conceder,Distrito de Arganzuela,CALLE AGUILON 5,BAJA,1,350/2023/36888,VIVIENDAS DE USO TURÍSTICO,06/03/24,350/2024/16126,01/10/24,Conceder
11001008,Conceder,Distrito de Centro,PLAZA MORERIA 2,BAJA,2,350/2023/36975,VIVIENDAS DE USO TURÍSTICO,20/03/24,350/2024/25854,08/10/24,Conceder
11085207,Conceder,Distrito de Usera,CALLE CEREZA 1,BAJA,1,350/2023/36983,VIVIENDAS DE USO TURÍSTICO,31/05/24,350/2024/20749,01/10/24,Conceder
11106798,Conceder,Distrito de Ciudad Lineal,CALLE EZEQUIEL SOLANA 120,BAJA,1,350/2023/36997,VIVIENDAS DE USO TURÍSTICO,10/01/24,350/2025/17597,21/07/25,Conceder
31062152,Conceder,Distrito de Villaverde,CALLE EL CASERIO 17,BAJA,1,350/2023/37158,VIVIENDAS DE USO TURÍSTICO,12/09/24,350/2024/34559,23/01/25,Conceder
11008158,Conceder,Distrito de Arganzuela,PASEO MELANCOLICOS 43,BAJA,1,350/2023/37200,VIVIENDAS DE USO TURÍSTICO,12/09/24,350/2024/27999,02/03/25,Conceder
11101383,Conceder,Distrito de Moratalaz,CALLE JOSE BERGAMIN 12,BAJA,1,350/2023/37349,VIVIENDAS DE USO TURÍSTICO,22/12/23,350/2024/25366,08/10/24,Conceder
11142291,Conceder,Distrito de Hortaleza,AVENIDA SAN LUIS 27,BAJA,1,350/2023/37456,VIVIENDAS DE USO TURÍSTICO,05/02/24,350/2024/04700,27/09/24,Conceder
20008646,Conceder,Distrito de Salamanca,CALLE ALCALA 202,PRIMERA,1,350/2023/37716,VIVIENDAS DE USO TURÍSTICO,14/02/24,350/2024/26081,09/10/24,Conceder
20148651,Conceder,Distrito de Fuencarral-El Pardo,CALLE FERMIN CABALLERO 62,BAJA,1,350/2023/37783,VIVIENDAS DE USO TURÍSTICO,11/06/24,350/2024/21646,07/10/24,Conceder
11023787,Conceder,Distrito de Chamartín,CALLE SATURNINO CALLEJA 3 A,BAJA,1,350/2023/38169,VIVIENDAS DE USO TURÍSTICO,29/02/24,350/2024/16476,30/09/24,Conceder
11002890,Conceder,Distrito de Centro,CALLE SALITRE 8,BAJA,1,350/2023/38494,VIVIENDAS DE USO TURÍSTICO,14/06/24,350/2024/23006,22/10/24,Conceder
11063575,Conceder,Distrito de Latina,CALLE ALVERJA 5,BAJA,1,350/2023/38760,VIVIENDAS DE USO TURÍSTICO,08/03/24,350/2024/25439,04/10/24,Conceder
11001534,Conceder,Distrito de Centro,CALLE COLEGIATA 6,BAJA Y ENTREPLANTA,3,350/2023/38983,VIVIENDAS DE USO TURÍSTICO,29/02/24,350/2024/11587,29/04/24,Conceder
11072762,Conceder,Distrito de Carabanchel,CALLE COMANDANTE FONTANES 51,BAJA,1,350/2023/38996,VIVIENDAS DE USO TURÍSTICO,09/08/24,350/2025/16798,27/10/25,Conceder
11006007,Conceder,Distrito de Centro,CALLE SAN VICENTE FERRER 43,BAJA,1,350/2024/00030,VIVIENDAS DE USO TURÍSTICO,08/03/24,350/2025/03343,13/02/25,Conceder
11034088,Conceder,Distrito de Tetuan,CALLE PLATANO 7,BAJA,1,350/2024/00277,VIVIENDAS DE USO TURÍSTICO,14/02/24,350/2024/08043,05/04/24,Conceder
11052807,Conceder,Distrito de Moncloa-Aravaca,CALLE FERRAZ 86,BAJA,1,350/2024/00803,VIVIENDAS DE USO TURÍSTICO,11/06/24,350/2025/16275,15/09/25,Conceder
11005698,Conceder,Distrito de Centro,CALLE BARCO 29,BAJA,1,350/2024/00963,VIVIENDAS DE USO TURÍSTICO,11/03/24,,,
20004858,Conceder,Distrito de Centro,CALLE SALITRE 23,BAJA,1,350/2024/01002,VIVIENDAS DE USO TURÍSTICO,14/02/24,350/2024/29965,11/10/24,Conceder
11101705,Conceder,Distrito de Moratalaz,CALLE ARROYO BELINCOSO 40,BAJA,1,350/2024/01016,VIVIENDAS DE USO TURÍSTICO,05/02/24,350/2024/20360,26/09/24,Conceder
11018572,Conceder,Distrito de Salamanca,CALLE PILAR DE ZARAGOZA 61,BAJA,1,350/2024/01042,VIVIENDAS DE USO TURÍSTICO,11/04/24,350/2024/20752,04/10/24,Conceder
11001761,Conceder,Distrito de Centro,CALLE DOS HERMANAS 11,BAJA,1,350/2024/01371,VIVIENDAS DE USO TURÍSTICO,22/04/24,,,
20134509,Conceder,Distrito de Tetuan,CALLE DOCTOR MARIANI 10,BAJA,1,350/2024/01642,VIVIENDAS DE USO TURÍSTICO,14/02/24,350/2024/08933,05/04/24,Conceder
11063045,Conceder,Distrito de Latina,PASEO EXTREMADURA 169,BAJA,1,350/2024/02039,VIVIENDAS DE USO TURÍSTICO,18/09/24,350/2024/27961,17/10/24,Conceder
11001823,Conceder,Distrito de Centro,CALLE FRAY CEFERINO GONZALEZ 10,BAJA,2,350/2024/02095,VIVIENDAS DE USO TURÍSTICO,11/03/24,350/2024/25368,04/10/24,Conceder
11069394,Conceder,Distrito de Carabanchel,CALLE ANTONIO VICENT 22,BAJA,1,350/2024/02133,VIVIENDAS DE USO TURÍSTICO,08/03/24,350/2024/33452,13/11/24,Conceder
11010205,Conceder,Distrito de Arganzuela,CALLE JOSE ANTONIO DE ARMONA 4,BAJA,1,350/2024/02161,VIVIENDAS DE USO TURÍSTICO,14/02/24,350/2024/25874,07/10/24,Conceder
11085647,Conceder,Distrito de Usera,CALLE CERRO BLANCO 23,BAJA,1,350/2024/02166,VIVIENDAS DE USO TURÍSTICO,27/09/24,,,
11006031,Conceder,Distrito de Centro,CALLE ESPIRITU SANTO 33,BAJA,1,350/2024/02321,VIVIENDAS DE USO TURÍSTICO,08/04/24,350/2025/12434,22/05/25,Conceder
11025442,Conceder,Distrito de Chamartín,CALLE RAMON DE SANTILLAN 14,BAJA,4,350/2024/02410,VIVIENDAS DE USO TURÍSTICO,08/03/24,350/2024/35232,27/11/24,Conceder
11084107,Conceder,Distrito de Usera,CALLE TORERO 4,Baja,2,350/2024/02624,VIVIENDAS DE USO TURÍSTICO,22/05/25,,,
11016394,Conceder,Distrito de Salamanca,CALLE DOCTOR ESQUERDO 35,PRIMERA,1,350/2024/02754,VIVIENDAS DE USO TURÍSTICO,20/02/24,350/2024/10269,03/10/24,Conceder
11007989,Conceder,Distrito de Arganzuela,CALLE LINNEO 15,BAJA,1,350/2024/02949,VIVIENDAS DE USO TURÍSTICO,21/04/25,,,
11033887,Conceder,Distrito de Tetuan,CALLE MULLER 48,BAJA,1,350/2024/02988,VIVIENDAS DE USO TURÍSTICO,11/03/24,350/2024/35908,05/12/24,Conceder
