E. Edificación y Vivienda
Mercado de la vivienda
Compra-Venta de Viviendas
Estadística registral inmobiliaria: datos anuales por distritos
4.2.1.6. Precio medio  declarado de la vivienda (euros/m2) por Distrito y Barrio según Tipo de vivienda
;;;Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100)
;;;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas
2020;10. Latina;10. Latina;"2.423,18";"2.794,27";"2.307,11";"69,60";"87,97";"64,59";"100,00";"115,31";"95,21"
2020;11. Carabanchel;11. Carabanchel;"2.352,41";"2.543,97";"2.306,54";"67,57";"80,09";"64,57";"100,00";"108,14";"98,05"
2020;12. Usera;12. Usera;"2.323,82";"2.672,15";"1.945,22";"66,75";"84,12";"54,46";"100,00";"114,99";"83,71"
2020;13. Puente de Vallecas;13. Puente de Vallecas;"1.908,39";"1.888,57";"1.914,69";"54,81";"59,45";"53,60";"100,00";"98,96";"100,33"
2020;14. Moratalaz;14. Moratalaz;"2.499,60";"2.212,88";"2.512,63";"71,79";"69,66";"70,34";"100,00";"88,53";"100,52"
2020;15. Ciudad Lineal;15. Ciudad Lineal;"3.154,24";"3.483,00";"3.129,40";"90,60";"109,65";"87,61";"100,00";"110,42";"99,21"
2020;16. Hortaleza;16. Hortaleza;"3.412,21";"2.922,26";"3.582,75";"98,01";"92,00";"100,30";"100,00";"85,64";"105,00"
2020;17. Villaverde;17. Villaverde;"1.749,87";"1.791,05";"1.716,50";"50,26";"56,38";"48,05";"100,00";"102,35";"98,09"
2020;18. Villa de Vallecas;18. Villa de Vallecas;"2.543,35";"2.750,20";"2.386,81";"73,05";"86,58";"66,82";"100,00";"108,13";"93,85"
2020;19. Vicálvaro;19. Vicálvaro;"2.265,78";"2.146,63";"2.372,86";"65,08";"67,58";"66,43";"100,00";"94,74";"104,73"
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;"2.601,53";"3.449,13";"2.470,31";"74,72";"108,58";"69,16";"100,00";"132,58";"94,96"
2020;21. Barajas;21. Barajas;"3.084,26";"2.871,89";"3.401,33";"88,59";"90,41";"95,22";"100,00";"93,11";"110,28"
2021;Ciudad de Madrid;Ciudad de Madrid;"3.641,57";"3.611,80";"3.648,73";"100,00";"100,00";"100,00";"100,00";"99,18";"100,20"
2021;01. Centro;01. Centro;"4.935,90";"5.906,74";"4.903,14";"135,54";"163,54";"134,38";"100,00";"119,67";"99,34"
2021;02. Arganzuela;02. Arganzuela;"4.210,73";"4.948,77";"3.894,94";"115,63";"137,02";"106,75";"100,00";"117,53";"92,50"
2021;03. Retiro;03. Retiro;"4.818,16";"4.956,86";"4.816,68";"132,31";"137,24";"132,01";"100,00";"102,88";"99,97"
2021;04. Salamanca;04. Salamanca;"5.737,17";"7.041,06";"5.646,55";"157,55";"194,95";"154,75";"100,00";"122,73";"98,42"
2021;05. Chamartín;05. Chamartín;"5.122,90";"4.977,24";"5.140,58";"140,68";"137,80";"140,89";"100,00";"97,16";"100,35"
2021;06. Tetuán;06. Tetuán;"3.756,93";"3.660,84";"3.768,82";"103,17";"101,36";"103,29";"100,00";"97,44";"100,32"
2021;07. Chamberí;07. Chamberí;"5.701,59";"7.302,88";"5.645,58";"156,57";"202,20";"154,73";"100,00";"128,08";"99,02"
2021;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;"4.037,31";"4.533,67";"3.751,29";"110,87";"125,52";"102,81";"100,00";"112,29";"92,92"
2021;09. Moncloa-Aravaca;09. Moncloa-Aravaca;"4.451,38";"6.622,68";"3.910,39";"122,24";"183,36";"107,17";"100,00";"148,78";"87,85"
2021;10. Latina;10. Latina;"2.340,85";"2.376,24";"2.334,12";"64,28";"65,79";"63,97";"100,00";"101,51";"99,71"
2021;11. Carabanchel;11. Carabanchel;"2.335,49";"2.344,28";"2.333,45";"64,13";"64,91";"63,95";"100,00";"100,38";"99,91"
2021;12. Usera;12. Usera;"2.065,27";"2.163,37";"2.040,74";"56,71";"59,90";"55,93";"100,00";"104,75";"98,81"
2021;13. Puente de Vallecas;13. Puente de Vallecas;"1.908,50";"1.859,65";"1.925,15";"52,41";"51,49";"52,76";"100,00";"97,44";"100,87"
2021;14. Moratalaz;14. Moratalaz;"2.593,33";"2.616,53";"2.591,61";"71,21";"72,44";"71,03";"100,00";"100,89";"99,93"
2021;15. Ciudad Lineal;15. Ciudad Lineal;"3.177,85";"3.662,72";"3.159,66";"87,27";"101,41";"86,60";"100,00";"115,26";"99,43"
2021;16. Hortaleza;16. Hortaleza;"3.851,04";"4.055,65";"3.651,10";"105,75";"112,29";"100,06";"100,00";"105,31";"94,81"
2021;17. Villaverde;17. Villaverde;"1.836,69";"2.111,88";"1.689,96";"50,44";"58,47";"46,32";"100,00";"114,98";"92,01"
2021;18. Villa de Vallecas;18. Villa de Vallecas;"2.326,79";"2.356,37";"2.316,51";"63,90";"65,24";"63,49";"100,00";"101,27";"99,56"
2021;19. Vicálvaro;19. Vicálvaro;"2.410,25";"2.410,68";"2.409,54";"66,19";"66,74";"66,04";"100,00";"100,02";"99,97"
2021;20. San Blas-Canillejas;20. San Blas-Canillejas;"2.756,64";"3.969,04";"2.486,59";"75,70";"109,89";"68,15";"100,00";"143,98";"90,20"
2021;21. Barajas;21. Barajas;"3.334,23";"3.610,34";"3.279,80";"91,56";"99,96";"89,89";"100,00";"108,28";"98,37"
2022;Ciudad de Madrid;Ciudad de Madrid;"3.900,40";"3.548,38";"3.966,11";"100,00";"100,00";"100,00";"100,00";"90,97";"101,68"
2022;01. Centro;01. Centro;"5.466,32";"5.968,17";"5.443,39";"140,15";"168,19";"137,25";"100,00";"109,18";"99,58"
2022;02. Arganzuela;02. Arganzuela;"4.489,71";"5.226,05";"4.363,57";"115,11";"147,28";"110,02";"100,00";"116,40";"97,19"
2022;03. Retiro;03. Retiro;"5.284,27";"3.898,17";"5.301,46";"135,48";"109,86";"133,67";"100,00";"73,77";"100,33"
2022;04. Salamanca;04. Salamanca;"6.496,29";"7.229,34";"6.462,96";"166,55";"203,74";"162,95";"100,00";"111,28";"99,49"
2022;05. Chamartín;05. Chamartín;"5.616,88";"7.199,32";"5.497,12";"144,01";"202,89";"138,60";"100,00";"128,17";"97,87"
2022;06. Tetuán;06. Tetuán;"3.955,42";"3.671,96";"3.997,48";"101,41";"103,48";"100,79";"100,00";"92,83";"101,06"
2022;07. Chamberí;07. Chamberí;"6.188,49";"7.162,88";"6.158,85";"158,66";"201,86";"155,29";"100,00";"115,75";"99,52"
2022;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;"4.054,52";"4.186,43";"4.001,37";"103,95";"117,98";"100,89";"100,00";"103,25";"98,69"
2022;09. Moncloa-Aravaca;09. Moncloa-Aravaca;"4.512,62";"5.499,05";"4.326,81";"115,70";"154,97";"109,09";"100,00";"121,86";"95,88"
2022;10. Latina;10. Latina;"2.507,78";"2.657,49";"2.482,76";"64,30";"74,89";"62,60";"100,00";"105,97";"99,00"
2022;11. Carabanchel;11. Carabanchel;"2.454,64";"2.879,41";"2.389,46";"62,93";"81,15";"60,25";"100,00";"117,30";"97,34"
2022;12. Usera;12. Usera;"2.183,17";"2.477,78";"2.147,55";"55,97";"69,83";"54,15";"100,00";"113,49";"98,37"
2022;13. Puente de Vallecas;13. Puente de Vallecas;"2.110,69";"2.196,98";"2.081,79";"54,11";"61,92";"52,49";"100,00";"104,09";"98,63"
2022;14. Moratalaz;14. Moratalaz;"2.767,30";"2.736,54";"2.769,45";"70,95";"77,12";"69,83";"100,00";"98,89";"100,08"
2022;15. Ciudad Lineal;15. Ciudad Lineal;"3.511,66";"4.167,45";"3.466,90";"90,03";"117,45";"87,41";"100,00";"118,67";"98,73"
2022;16. Hortaleza;16. Hortaleza;"3.920,20";"3.820,86";"3.974,96";"100,51";"107,68";"100,22";"100,00";"97,47";"101,40"
2022;17. Villaverde;17. Villaverde;"1.830,26";"1.904,60";"1.796,25";"46,92";"53,68";"45,29";"100,00";"104,06";"98,14"
2022;18. Villa de Vallecas;18. Villa de Vallecas;"2.628,55";"2.666,04";"2.616,84";"67,39";"75,13";"65,98";"100,00";"101,43";"99,55"
2022;19. Vicálvaro;19. Vicálvaro;"2.604,57";"2.609,39";"2.596,10";"66,78";"73,54";"65,46";"100,00";"100,19";"99,67"
2022;20. San Blas-Canillejas;20. San Blas-Canillejas;"2.739,57";"3.294,75";"2.691,67";"70,24";"92,85";"67,87";"100,00";"120,27";"98,25"
2022;21. Barajas;21. Barajas;"3.445,86";"4.135,60";"3.302,28";"88,35";"116,55";"83,26";"100,00";"120,02";"95,83"
2023;Ciudad de Madrid;Ciudad de Madrid;"4.060,37";"3.977,34";"4.076,59";"100,00";"100,00";"100,00";"100,00";"97,96";"100,40"
2023;01. Centro;01. Centro;"5.712,09";"5.943,84";"5.705,23";"140,68";"149,44";"139,95";"100,00";"104,06";"99,88"
2023;02. Arganzuela;02. Arganzuela;"4.556,68";"5.462,83";"4.462,14";"112,22";"137,35";"109,46";"100,00";"119,89";"97,93"
2023;03. Retiro;03. Retiro;"5.501,02";"4.344,75";"5.504,72";"135,48";"109,24";"135,03";"100,00";"78,98";"100,07"
