Año;Periodo;Territorio;Indicador;Valor;Unidad;Estado dato
2025;T3;San Blas-Canillejas;Tasa de variación sobre el periodo anterior;3.5;Porcentaje;
2025;T3;San Blas-Canillejas;Tasa de variación sobre igual período del año anterior;23.9;Porcentaje;
2025;T3;Tetuán;Serie;136.042;Índice;
2025;T3;Tetuán;Tasa de variación sobre el periodo anterior;3.4;Porcentaje;
2025;T3;Tetuán;Tasa de variación sobre igual período del año anterior;19.3;Porcentaje;
2025;T3;Usera;Serie;144.496;Índice;
2025;T3;Usera;Tasa de variación sobre el periodo anterior;3.7;Porcentaje;
2025;T3;Usera;Tasa de variación sobre igual período del año anterior;23.4;Porcentaje;
2025;T3;Vicálvaro;Serie;136.94;Índice;
2025;T3;Vicálvaro;Tasa de variación sobre el periodo anterior;6.2;Porcentaje;
2025;T3;Vicálvaro;Tasa de variación sobre igual período del año anterior;23.8;Porcentaje;
2025;T3;Villa de Vallecas;Serie;135.565;Índice;
2025;T3;Villa de Vallecas;Tasa de variación sobre el periodo anterior;4.7;Porcentaje;
2025;T3;Villa de Vallecas;Tasa de variación sobre igual período del año anterior;18.7;Porcentaje;
2025;T3;Villaverde;Serie;143.834;Índice;
2025;T3;Villaverde;Tasa de variación sobre el periodo anterior;7.1;Porcentaje;
2025;T3;Villaverde;Tasa de variación sobre igual período del año anterior;22.1;Porcentaje;
2025;T2;Arganzuela;Serie;133.679;Índice;
2025;T2;Arganzuela;Tasa de variación sobre el periodo anterior;8.7;Porcentaje;
2025;T2;Arganzuela;Tasa de variación sobre igual período del año anterior;20.8;Porcentaje;
2025;T2;Barajas;Serie;122.223;Índice;
2025;T2;Barajas;Tasa de variación sobre el periodo anterior;3.7;Porcentaje;
2025;T2;Barajas;Tasa de variación sobre igual período del año anterior;15.1;Porcentaje;
2025;T2;Carabanchel;Serie;135.864;Índice;
2025;T2;Carabanchel;Tasa de variación sobre el periodo anterior;6.5;Porcentaje;
2025;T2;Carabanchel;Tasa de variación sobre igual período del año anterior;19.1;Porcentaje;
2025;T2;Centro;Serie;124.554;Índice;
2025;T2;Centro;Tasa de variación sobre el periodo anterior;4.3;Porcentaje;
2025;T2;Centro;Tasa de variación sobre igual período del año anterior;14.5;Porcentaje;
2025;T2;Chamartín;Serie;132.257;Índice;
2025;T2;Chamartín;Tasa de variación sobre el periodo anterior;2.5;Porcentaje;
2025;T2;Chamartín;Tasa de variación sobre igual período del año anterior;14.7;Porcentaje;
2025;T2;Chamberí;Serie;136.209;Índice;
2025;T2;Chamberí;Tasa de variación sobre igual período del año anterior;18.0;Porcentaje;
2025;T2;Ciudad Lineal;Serie;137.098;Índice;
2025;T2;Ciudad Lineal;Tasa de variación sobre el periodo anterior;9.4;Porcentaje;
2025;T2;Ciudad Lineal;Tasa de variación sobre igual período del año anterior;23.3;Porcentaje;
2025;T2;Fuencarral-El Pardo;Serie;129.528;Índice;
2025;T2;Fuencarral-El Pardo;Tasa de variación sobre el periodo anterior;7.2;Porcentaje;
2025;T2;Fuencarral-El Pardo;Tasa de variación sobre igual período del año anterior;20.4;Porcentaje;
2025;T2;Hortaleza;Serie;130.406;Índice;
2025;T2;Hortaleza;Tasa de variación sobre el periodo anterior;7.5;Porcentaje;
2025;T2;Hortaleza;Tasa de variación sobre igual período del año anterior;18.6;Porcentaje;
