E. Edificación y Vivienda
Mercado de la vivienda
Sistema Estatal de Referencia del Precio del Alquiler de Vivienda
"4.4.1. Número de viviendas en alquiler, Superficie media (m2), Renta media (€/m2.mes) y Cuantía media del arrendamiento (€/mes) por Distrito"
Año;Distrito;Número de viviendas en alquiler;Número de viviendas en alquiler;Número de viviendas en alquiler;Superficie media vivienda colectiva (m2);Superficie media vivienda colectiva (m2);Superficie media vivienda colectiva (m2);Renta media vivienda colectiva (€/m2.mes);Renta media vivienda colectiva (€/m2.mes);Renta media vivienda colectiva (€/m2.mes);Cuantía media arrendamiento vivienda colectiva  (€/mes);Cuantía media arrendamiento vivienda colectiva  (€/mes);Cuantía media arrendamiento vivienda colectiva  (€/mes);Superficie media vivienda unifamiliar (m2);Superficie media vivienda unifamiliar (m2);Superficie media vivienda unifamiliar (m2);Renta media vivienda unifamiliar (€/m2.mes);Renta media vivienda unifamiliar (€/m2.mes);Renta media vivienda unifamiliar (€/m2.mes);Cuantía media arrendamiento vivienda  unifamiliar (€/mes);Cuantía media arrendamiento vivienda  unifamiliar (€/mes);Cuantía media arrendamiento vivienda  unifamiliar (€/mes)
Año;Distrito;Número total de  viviendas alquiler;Número de viviendas colectivas en alquiler;Número de viviendas unifamiliares en alquiler;Mediana;Percentil 25;Percentil 75;Mediana;Percentil 25;Percentil 75;Mediana;Percentil 25;Percentil 75;Mediana;Percentil 25;Percentil 75;Mediana;Percentil 25;Percentil 75;Mediana;Percentil 25;Percentil 75
2021;07. Chamberí;"17.944,00";"17.925,00";"19,00";"64,00";"46,00";"90,00";"16,05";"12,96";"19,39";"998,75";"756,92";"1.347,90";"49,00";"42,00";"119,00";"13,73";"8,84";"18,76";"700,00";"612,50";"958,68"
2021;08. Fuencarral-El Pardo;"19.248,00";"18.788,00";"460,00";"77,00";"55,00";"104,00";"12,37";"10,50";"14,34";"894,61";"700,00";"1.150,47";"200,50";"110,00";"295,00";"9,90";"7,30";"12,39";"1.335,90";"750,31";"2.300,00"
2021;09. Moncloa-Aravaca;"10.238,00";"9.808,00";"430,00";"70,00";"54,25";"93,00";"13,61";"11,11";"16,67";"900,49";"730,00";"1.250,73";"242,00";"183,00";"339,00";"11,31";"8,28";"13,88";"1.929,28";"1.175,36";"2.650,00"
2021;10. Latina;"17.430,00";"17.327,00";"103,00";"66,00";"58,00";"74,00";"10,14";"8,55";"12,01";"651,95";"556,05";"767,90";"90,00";"70,00";"135,00";"8,55";"6,56";"10,42";"670,83";"550,00";"883,39"
2021;11. Carabanchel;"19.082,00";"18.990,00";"92,00";"64,00";"53,00";"75,00";"10,27";"8,47";"12,50";"650,00";"550,00";"750,00";"84,00";"60,00";"102,75";"10,96";"8,15";"13,51";"788,91";"630,42";"962,54"
2021;12. Usera;"8.255,00";"8.126,00";"129,00";"66,00";"55,00";"83,00";"9,79";"8,06";"11,91";"645,09";"530,10";"750,41";"81,00";"62,50";"95,00";"8,66";"7,27";"10,60";"668,75";"570,96";"800,00"
2021;13. Puente de Vallecas;"14.145,00";"13.898,00";"247,00";"60,00";"51,00";"74,00";"10,00";"8,33";"12,23";"600,01";"512,00";"700,00";"69,00";"63,00";"80,00";"8,70";"7,02";"10,73";"600,00";"500,00";"718,10"
2021;14. Moratalaz;"5.519,00";"5.510,00";"9,00";"70,00";"58,00";"83,00";"10,34";"8,88";"11,90";"703,40";"600,00";"844,59";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
2021;15. Ciudad Lineal;"19.785,00";"19.646,00";"139,00";"64,00";"53,00";"77,00";"11,70";"9,74";"14,11";"735,51";"604,80";"898,00";"132,00";"78,00";"166,00";"10,87";"7,83";"14,08";"950,00";"660,00";"1.500,00"
2021;16. Hortaleza;"13.394,00";"12.920,00";"474,00";"80,00";"62,00";"104,00";"12,18";"10,19";"14,60";"896,61";"700,00";"1.148,57";"270,00";"146,25";"350,75";"11,56";"8,67";"14,97";"2.330,18";"1.014,33";"3.500,00"
2021;17. Villaverde;"8.285,00";"8.215,00";"70,00";"66,00";"56,00";"83,00";"8,93";"7,47";"10,53";"600,00";"500,00";"700,00";"51,50";"47,00";"135,75";"8,42";"5,90";"10,15";"550,00";"442,50";"650,00"
2021;18. Villa de Vallecas;"7.133,00";"7.098,00";"35,00";"70,00";"55,00";"87,00";"10,66";"8,91";"13,28";"695,00";"600,00";"800,00";"194,00";"115,00";"207,00";"8,48";"6,86";"9,70";"1.190,00";"716,67";"1.300,00"
2021;19. Vicálvaro;"4.414,00";"4.385,00";"29,00";"73,00";"60,00";"98,00";"9,68";"8,42";"11,18";"700,00";"575,00";"850,00";"89,00";"67,00";"201,50";"8,82";"6,48";"12,50";"775,00";"609,95";"1.025,00"
2021;20. San Blas-Canillejas;"10.356,00";"10.141,00";"215,00";"69,00";"52,00";"85,00";"11,28";"9,48";"13,45";"735,00";"601,65";"890,93";"205,00";"73,00";"259,00";"9,95";"7,78";"12,50";"1.218,75";"700,00";"2.000,81"
2021;21. Barajas;"3.671,00";"3.507,00";"164,00";"80,00";"58,00";"95,00";"11,69";"9,89";"13,77";"825,74";"660,00";"1.007,78";"216,50";"103,00";"292,25";"9,77";"6,08";"11,86";"1.355,72";"631,35";"1.963,99"
2022;Ciudad de Madrid;"281.462,00";"278.359,00";"3.103,00";"66,00";"51,00";"85,00";"12,77";"10,14";"16,18";"800,00";"650,00";"1.041,67";"165,00";"78,00";"267,00";"11,30";"8,31";"14,74";"1.200,00";"700,00";"2.350,00"
2022;01. Centro;"19.945,00";"19.938,00";"7,00";"55,00";"41,00";"77,00";"16,01";"12,82";"19,42";"854,25";"693,33";"1.144,78";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
2022;02. Arganzuela;"15.290,00";"15.286,00";"4,00";"63,00";"47,00";"81,00";"14,55";"12,08";"17,29";"861,66";"700,00";"1.100,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
2022;03. Retiro;"9.698,00";"9.664,00";"34,00";"72,00";"51,00";"94,00";"14,58";"12,14";"17,65";"985,16";"775,00";"1.285,93";"159,50";"73,75";"224,75";"12,49";"8,21";"17,19";"1.178,00";"825,00";"2.526,58"
2022;04. Salamanca;"16.331,00";"16.267,00";"64,00";"65,00";"47,00";"92,00";"16,35";"13,13";"20,15";"1.000,00";"795,00";"1.414,34";"207,00";"108,75";"248,25";"11,51";"7,40";"15,89";"1.800,00";"893,31";"2.671,25"
2022;05. Chamartín;"15.054,00";"14.790,00";"264,00";"67,00";"50,00";"90,00";"15,44";"12,82";"18,39";"1.000,00";"800,00";"1.302,27";"187,50";"130,25";"262,50";"14,71";"10,87";"18,76";"2.317,24";"1.550,11";"3.334,79"
2022;06. Tetuán;"18.764,00";"18.703,00";"61,00";"56,00";"44,00";"73,00";"14,52";"11,70";"17,64";"795,27";"650,00";"989,99";"76,00";"67,00";"167,00";"12,20";"9,07";"15,83";"1.000,00";"700,00";"1.595,00"
2022;07. Chamberí;"18.528,00";"18.506,00";"22,00";"64,00";"46,00";"91,00";"16,80";"13,69";"20,19";"1.036,92";"800,00";"1.401,00";"49,00";"37,00";"68,00";"12,75";"8,77";"18,46";"716,67";"571,91";"898,16"
2022;08. Fuencarral-El Pardo;"19.701,00";"19.245,00";"456,00";"77,00";"55,00";"104,00";"12,75";"10,90";"14,71";"900,00";"712,94";"1.200,00";"199,00";"110,25";"290,00";"10,28";"7,76";"13,09";"1.420,00";"800,00";"2.328,15"
2022;09. Moncloa-Aravaca;"10.582,00";"10.145,00";"437,00";"70,00";"54,00";"93,00";"14,14";"11,59";"17,26";"950,00";"750,24";"1.300,00";"241,50";"183,00";"328,25";"11,82";"8,60";"14,76";"2.024,53";"1.200,00";"2.963,21"
2022;10. Latina;"18.235,00";"18.135,00";"100,00";"66,00";"57,00";"74,00";"10,56";"8,95";"12,50";"692,59";"600,00";"800,00";"86,50";"68,00";"132,25";"9,17";"7,41";"11,24";"734,30";"600,00";"899,87"
2022;11. Carabanchel;"20.019,00";"19.926,00";"93,00";"63,00";"53,00";"74,00";"10,71";"8,86";"12,95";"662,50";"565,00";"777,60";"85,00";"59,50";"107,00";"11,36";"8,29";"13,99";"806,63";"619,17";"1.021,67"
2022;12. Usera;"8.677,00";"8.539,00";"138,00";"66,00";"55,00";"83,00";"10,17";"8,36";"12,35";"653,24";"550,00";"790,26";"81,00";"63,00";"95,00";"9,20";"7,25";"11,22";"700,00";"600,00";"815,14"
2022;13. Puente de Vallecas;"14.965,00";"14.701,00";"264,00";"60,00";"51,00";"74,00";"10,45";"8,62";"12,72";"637,91";"547,61";"731,25";"69,00";"62,00";"78,00";"9,48";"7,84";"11,48";"648,66";"533,69";"753,41"
2022;14. Moratalaz;"5.742,00";"5.735,00";"7,00";"70,00";"58,00";"83,00";"10,71";"9,25";"12,32";"743,89";"633,50";"856,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
2022;15. Ciudad Lineal;"20.581,00";"20.444,00";"137,00";"64,00";"53,00";"77,00";"12,12";"10,14";"14,51";"750,00";"645,00";"904,50";"131,00";"75,00";"165,50";"11,46";"7,87";"15,11";"1.000,00";"669,98";"1.500,00"
2022;16. Hortaleza;"13.892,00";"13.403,00";"489,00";"81,00";"61,00";"104,00";"12,59";"10,57";"15,01";"911,75";"743,89";"1.183,33";"270,00";"141,75";"354,25";"12,04";"8,97";"16,00";"2.490,90";"987,62";"3.600,25"
2022;17. Villaverde;"8.771,00";"8.696,00";"75,00";"66,00";"56,00";"83,00";"9,31";"7,81";"11,02";"615,37";"516,42";"734,74";"55,00";"47,00";"133,00";"8,90";"5,74";"11,90";"577,46";"450,00";"696,82"
2022;18. Villa de Vallecas;"7.402,00";"7.367,00";"35,00";"70,00";"55,00";"87,00";"10,94";"9,19";"13,54";"700,00";"602,39";"815,84";"194,00";"86,00";"212,00";"9,12";"6,90";"10,14";"1.136,67";"700,00";"1.361,13"
2022;19. Vicálvaro;"4.702,00";"4.669,00";"33,00";"75,00";"60,00";"100,00";"10,00";"8,73";"11,54";"727,20";"600,00";"875,00";"107,00";"85,50";"217,50";"9,71";"7,39";"12,51";"900,00";"654,72";"1.350,00"
2022;20. San Blas-Canillejas;"10.787,00";"10.560,00";"227,00";"68,00";"52,00";"85,00";"11,63";"9,82";"13,79";"750,00";"636,06";"900,00";"213,50";"74,00";"263,00";"10,57";"7,72";"12,70";"1.243,04";"701,04";"2.128,13"
